,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,expiration,type
8,SBUX180921C00047000,2018-07-05 3:59PM EDT,47.0,2.88,2.86,2.94,-0.37,-11.38%,86,147,22.93%,2018-09-21,call
9,SBUX180921C00048000,2018-07-05 3:59PM EDT,48.0,2.27,2.26,2.31,-0.26,-10.28%,265,133,22.19%,2018-09-21,call
10,SBUX180921C00049000,2018-07-05 3:58PM EDT,49.0,1.76,1.72,1.81,-0.24,-12.00%,247,179,22.07%,2018-09-21,call
11,SBUX180921C00050000,2018-07-03 12:55PM EDT,50.0,1.47,1.39,1.48,-0.1,-6.37%,191,4775,22.97%,2018-09-21,call
12,SBUX180921C00052500,2018-07-03 12:50PM EDT,52.5,0.7,0.68,0.69,-0.06,-7.89%,141,3954,22.22%,2018-09-21,call
13,SBUX180921C00055000,2018-07-03 12:50PM EDT,55.0,0.32,0.3,0.35,-0.01,-3.03%,71,5249,23.19%,2018-09-21,call
14,SBUX180921C00057500,2018-07-03 12:03PM EDT,57.5,0.15,0.12,0.17,0.0,-,1,3126,23.98%,2018-09-21,call
15,SBUX180921C00060000,2018-07-03 12:46PM EDT,60.0,0.08,0.07,0.1,0.03,+60.00%,32,7142,25.59%,2018-09-21,call
16,SBUX180921C00062500,2018-07-03 10:27AM EDT,62.5,0.05,0.05,0.08,0.0,-,22,3231,28.42%,2018-09-21,call
17,SBUX180921C00065000,2018-06-27 10:48AM EDT,65.0,0.05,0.03,0.06,-0.01,-16.67%,21,1410,30.47%,2018-09-21,call
18,SBUX180921C00067500,2018-06-26 9:44AM EDT,67.5,0.03,0.0,0.05,0.0,-,1,788,32.81%,2018-09-21,call
19,SBUX180921C00070000,2018-06-26 11:31AM EDT,70.0,0.03,0.01,0.03,0.0,-,1,732,33.59%,2018-09-21,call
20,SBUX180921C00072500,2018-07-02 12:02PM EDT,72.5,0.04,0.0,0.04,0.0,-,1,297,37.70%,2018-09-21,call
21,SBUX180921C00075000,2018-06-26 1:43PM EDT,75.0,0.01,0.0,0.03,0.0,-,10,837,38.87%,2018-09-21,call
22,SBUX180921C00080000,2018-06-26 3:25PM EDT,80.0,0.02,0.0,0.03,0.0,-,5,1618,43.75%,2018-09-21,call
23,SBUX180921C00085000,2018-05-07 9:30AM EDT,85.0,0.03,0.0,0.04,0.0,-,1,73,50.00%,2018-09-21,call
0,SBUX181019C00035000,2018-06-28 1:34PM EDT,35.0,12.96,13.25,16.55,0.0,-,1,4,63.77%,2018-10-19,call
1,SBUX181019C00037000,2018-07-05 6:35PM EDT,37.0,12.05,11.65,13.9,0.0,-,1,0,54.00%,2018-10-19,call
2,SBUX181019C00040000,2018-07-02 2:19PM EDT,40.0,9.19,7.25,10.45,0.0,-,3,65,52.71%,2018-10-19,call
3,SBUX181019C00043000,2018-07-05 6:35PM EDT,43.0,6.45,4.7,8.1,0.0,-,3,3,48.51%,2018-10-19,call
4,SBUX181019C00044000,2018-07-02 9:35AM EDT,44.0,5.5,5.2,5.6,0.0,-,25,33,26.93%,2018-10-19,call
5,SBUX181019C00045000,2018-07-02 2:19PM EDT,45.0,4.86,4.4,4.85,0.0,-,16,255,26.39%,2018-10-19,call
6,SBUX181019C00046000,2018-07-02 9:35AM EDT,46.0,4.0,3.8,3.95,0.0,-,30,30,23.74%,2018-10-19,call
7,SBUX181019C00047000,2018-07-05 3:51PM EDT,47.0,3.2,3.15,3.25,-0.26,-7.51%,7,1568,22.85%,2018-10-19,call
8,SBUX181019C00048000,2018-07-05 10:04AM EDT,48.0,2.56,2.55,2.64,-0.27,-9.54%,8,57,22.27%,2018-10-19,call
9,SBUX181019C00049000,2018-07-05 3:47PM EDT,49.0,2.1,2.03,2.12,-0.25,-10.64%,41,107,21.92%,2018-10-19,call
10,SBUX181019C00050000,2018-07-05 2:50PM EDT,50.0,1.6,1.58,1.67,-0.2,-11.11%,32,3869,21.58%,2018-10-19,call
11,SBUX181019C00052500,2018-07-05 3:58PM EDT,52.5,0.84,0.79,0.87,-0.11,-11.58%,74,2995,21.19%,2018-10-19,call
12,SBUX181019C00055000,2018-07-05 3:14PM EDT,55.0,0.39,0.39,0.43,-0.09,-18.75%,448,10001,21.24%,2018-10-19,call
13,SBUX181019C00057500,2018-07-05 3:58PM EDT,57.5,0.2,0.19,0.21,-0.04,-16.67%,41,2148,21.63%,2018-10-19,call
14,SBUX181019C00060000,2018-07-05 2:30PM EDT,60.0,0.08,0.08,0.11,-0.02,-20.00%,77,3642,22.41%,2018-10-19,call
15,SBUX181019C00062500,2018-07-05 11:06AM EDT,62.5,0.06,0.05,0.1,0.0,-,2,2679,25.39%,2018-10-19,call
16,SBUX181019C00065000,2018-07-02 9:30AM EDT,65.0,0.03,0.01,0.06,0.0,-,1,670,26.27%,2018-10-19,call
17,SBUX181019C00067500,2018-06-29 12:18PM EDT,67.5,0.03,0.0,0.06,0.0,-,3,116,29.10%,2018-10-19,call
18,SBUX181019C00070000,2018-06-21 3:23PM EDT,70.0,0.05,0.0,0.07,0.0,-,4,129,32.42%,2018-10-19,call
19,SBUX181019C00075000,2018-06-20 1:55PM EDT,75.0,0.02,0.0,0.05,0.0,-,20,57,35.74%,2018-10-19,call
0,SBUX190118C00030000,2018-06-26 10:21AM EDT,30.0,20.52,20.2,20.8,0.0,-,23,226,71.09%,2019-01-18,call
1,SBUX190118C00035000,2018-06-27 11:24AM EDT,35.0,15.5,15.3,15.85,-0.3,-1.90%,5,135,55.20%,2019-01-18,call
2,SBUX190118C00040000,2018-07-03 11:19AM EDT,40.0,9.85,9.3,10.05,0.46,+4.90%,2,902,34.69%,2019-01-18,call
3,SBUX190118C00043000,2018-06-29 11:48PM EDT,43.0,7.03,6.85,7.4,0.0,-,14,0,29.66%,2019-01-18,call
4,SBUX190118C00044000,2018-07-02 12:17PM EDT,44.0,6.3,5.65,6.5,0.0,-,1,11,27.64%,2019-01-18,call
5,SBUX190118C00045000,2018-07-03 12:39PM EDT,45.0,5.65,5.4,5.75,0.21,+3.86%,1,835,26.70%,2019-01-18,call
6,SBUX190118C00047000,2018-07-05 10:16AM EDT,47.0,4.02,3.95,4.1,-0.48,-10.67%,21,44,23.02%,2019-01-18,call
7,SBUX190118C00048000,2018-07-05 12:35PM EDT,48.0,3.6,3.4,3.55,0.0,-,27,5,22.82%,2019-01-18,call
8,SBUX190118C00049000,2018-07-05 3:44PM EDT,49.0,2.99,2.92,3.05,-0.14,-4.47%,191,134,22.62%,2019-01-18,call
9,SBUX190118C00050000,2018-07-03 12:55PM EDT,50.0,2.67,2.63,2.71,-0.16,-5.65%,706,4685,23.21%,2019-01-18,call
10,SBUX190118C00052500,2018-07-03 12:50PM EDT,52.5,1.74,1.68,1.76,-0.07,-3.87%,42,5485,22.60%,2019-01-18,call
11,SBUX190118C00055000,2018-07-03 11:55AM EDT,55.0,1.15,1.04,1.11,0.0,-,152,12360,22.32%,2019-01-18,call
12,SBUX190118C00057500,2018-07-03 12:52PM EDT,57.5,0.66,0.65,0.68,-0.04,-5.71%,108,7650,22.17%,2019-01-18,call
13,SBUX190118C00060000,2018-07-03 12:11PM EDT,60.0,0.41,0.38,0.43,-0.05,-10.87%,52,21333,22.46%,2019-01-18,call
14,SBUX190118C00062500,2018-07-03 12:55PM EDT,62.5,0.26,0.25,0.26,-0.02,-7.14%,39,14034,22.56%,2019-01-18,call
15,SBUX190118C00065000,2018-07-03 11:44AM EDT,65.0,0.17,0.15,0.19,-0.01,-5.56%,16,8784,23.58%,2019-01-18,call
16,SBUX190118C00067500,2018-07-03 12:32PM EDT,67.5,0.12,0.1,0.13,-0.01,-7.69%,10,3510,24.17%,2019-01-18,call
17,SBUX190118C00070000,2018-07-02 3:50PM EDT,70.0,0.09,0.08,0.11,0.0,-,73,12206,25.59%,2019-01-18,call
18,SBUX190118C00072500,2018-06-27 10:11AM EDT,72.5,0.07,0.07,0.1,-0.05,-41.67%,1,646,27.15%,2019-01-18,call
19,SBUX190118C00075000,2018-07-03 11:43AM EDT,75.0,0.06,0.04,0.07,-0.02,-25.00%,3,1902,27.44%,2019-01-18,call
20,SBUX190118C00080000,2018-06-26 10:58AM EDT,80.0,0.04,0.04,0.06,0.0,-,10,6673,30.18%,2019-01-18,call
21,SBUX190118C00085000,2018-06-21 9:41AM EDT,85.0,0.04,0.0,0.06,0.0,-,16,883,33.20%,2019-01-18,call
22,SBUX190118C00090000,2018-06-25 11:17AM EDT,90.0,0.02,0.0,0.04,0.0,-,150,1197,34.38%,2019-01-18,call
0,SBUX190621C00030000,2018-06-28 3:50PM EDT,30.0,18.68,17.75,21.9,0.0,-,60,72,67.02%,2019-06-21,call
1,SBUX190621C00035000,2018-07-02 9:30AM EDT,35.0,14.6,13.8,15.15,0.0,-,1,9,37.55%,2019-06-21,call
2,SBUX190621C00040000,2018-07-03 10:29AM EDT,40.0,10.1,9.95,10.2,0.05,+0.50%,2,334,27.17%,2019-06-21,call
3,SBUX190621C00045000,2018-07-02 11:48AM EDT,45.0,6.55,6.4,6.55,0.0,-,17,272,24.70%,2019-06-21,call
4,SBUX190621C00047000,2018-07-05 6:35PM EDT,47.0,5.2,5.05,5.2,0.0,-,11,1,23.26%,2019-06-21,call
5,SBUX190621C00050000,2018-07-05 3:59PM EDT,50.0,3.6,3.55,3.7,-0.22,-5.76%,93,1311,22.61%,2019-06-21,call
6,SBUX190621C00052500,2018-07-03 12:50PM EDT,52.5,2.8,2.73,2.85,0.02,+0.72%,29,417,22.93%,2019-06-21,call
7,SBUX190621C00055000,2018-07-05 1:16PM EDT,55.0,1.96,1.83,2.06,-0.08,-3.92%,41,1538,22.53%,2019-06-21,call
8,SBUX190621C00057500,2018-07-05 1:32PM EDT,57.5,1.34,1.3,1.36,-0.14,-9.46%,4,250,21.57%,2019-06-21,call
9,SBUX190621C00060000,2018-07-05 1:32PM EDT,60.0,0.92,0.9,0.96,-0.16,-14.81%,1,656,21.56%,2019-06-21,call
10,SBUX190621C00062500,2018-07-05 3:59PM EDT,62.5,0.65,0.61,0.68,-0.05,-7.14%,11,148,21.66%,2019-06-21,call
11,SBUX190621C00065000,2018-07-05 10:49AM EDT,65.0,0.45,0.41,0.49,-0.08,-15.09%,7,258,21.88%,2019-06-21,call
12,SBUX190621C00067500,2018-06-28 12:18PM EDT,67.5,0.31,0.34,0.41,0.0,-,1,102,22.88%,2019-06-21,call
13,SBUX190621C00070000,2018-07-05 3:58PM EDT,70.0,0.24,0.2,0.27,-0.04,-14.29%,80,168,22.58%,2019-06-21,call
14,SBUX190621C00075000,2018-07-03 11:24AM EDT,75.0,0.16,0.1,0.17,0.0,-,2,11,23.68%,2019-06-21,call
15,SBUX190621C00080000,2018-06-27 9:30AM EDT,80.0,0.11,0.09,0.14,-0.02,-15.38%,2,32,25.64%,2019-06-21,call
16,SBUX190621C00085000,2018-06-29 10:13AM EDT,85.0,0.08,0.04,0.1,0.03,+60.00%,1,137,26.76%,2019-06-21,call
0,SBUX200117C00030000,2018-07-03 12:34PM EDT,30.0,19.45,17.1,21.4,0.43,+2.26%,3,147,49.30%,2020-01-17,call
1,SBUX200117C00035000,2018-07-03 11:45AM EDT,35.0,15.25,14.7,15.9,0.3,+2.01%,6,4475,34.96%,2020-01-17,call
2,SBUX200117C00040000,2018-07-03 12:55PM EDT,40.0,11.0,10.65,11.35,0.0,-,5,3574,28.03%,2020-01-17,call
3,SBUX200117C00043000,2018-07-05 1:32PM EDT,43.0,8.8,7.5,9.1,-0.2,-2.22%,45,4,26.03%,2020-01-17,call
4,SBUX200117C00045000,2018-07-03 12:48PM EDT,45.0,7.7,7.5,7.8,0.1,+1.32%,10,786,25.21%,2020-01-17,call
5,SBUX200117C00047000,2018-07-05 1:26PM EDT,47.0,6.5,6.25,6.55,-0.32,-4.69%,37,88,24.20%,2020-01-17,call
6,SBUX200117C00050000,2018-07-03 12:39PM EDT,50.0,5.2,4.9,5.2,-0.05,-0.95%,27,3129,24.12%,2020-01-17,call
7,SBUX200117C00052500,2018-07-03 11:42AM EDT,52.5,4.25,3.9,4.2,0.15,+3.66%,84,843,23.83%,2020-01-17,call
8,SBUX200117C00055000,2018-07-03 12:50PM EDT,55.0,3.3,3.05,3.35,0.0,-,22,2971,23.55%,2020-01-17,call
9,SBUX200117C00057500,2018-07-03 12:55PM EDT,57.5,2.58,2.37,2.6,-0.03,-1.15%,31,1629,23.08%,2020-01-17,call
10,SBUX200117C00060000,2018-07-03 12:27PM EDT,60.0,2.01,1.82,2.04,0.04,+2.03%,12,2466,22.93%,2020-01-17,call
11,SBUX200117C00062500,2018-07-03 12:58PM EDT,62.5,1.59,1.28,1.79,0.05,+3.25%,14,1304,23.87%,2020-01-17,call
12,SBUX200117C00065000,2018-07-03 10:31AM EDT,65.0,1.21,1.2,1.42,0.02,+1.68%,2,1505,23.82%,2020-01-17,call
13,SBUX200117C00067500,2018-07-02 3:47PM EDT,67.5,0.95,0.8,0.98,0.0,-,12,633,22.80%,2020-01-17,call
14,SBUX200117C00070000,2018-07-03 11:25AM EDT,70.0,0.75,0.66,0.96,0.03,+4.17%,2,4325,24.29%,2020-01-17,call
15,SBUX200117C00075000,2018-06-27 10:56AM EDT,75.0,0.51,0.47,0.57,-0.16,-23.88%,8,4946,23.93%,2020-01-17,call
16,SBUX200117C00080000,2018-06-25 2:24PM EDT,80.0,0.37,0.3,0.39,0.0,-,317,671,24.39%,2020-01-17,call
17,SBUX200117C00085000,2018-07-02 3:11PM EDT,85.0,0.2,0.16,0.39,0.0,-,2,3044,26.59%,2020-01-17,call
18,SBUX200117C00090000,2018-07-03 11:03AM EDT,90.0,0.18,0.16,0.2,0.03,+20.00%,26,228,25.44%,2020-01-17,call
0,SBUX180706P00037500,2018-06-29 11:48PM EDT,37.5,0.01,0.0,0.03,0.0,-,4,0,150.00%,2018-07-06,put
1,SBUX180706P00040000,2018-06-29 11:48PM EDT,40.0,0.04,0.0,0.06,0.0,-,2,2,128.13%,2018-07-06,put
2,SBUX180706P00043500,2018-06-29 11:48PM EDT,43.5,0.02,0.0,0.1,0.0,-,2,0,86.72%,2018-07-06,put
3,SBUX180706P00044000,2018-06-29 11:48PM EDT,44.0,0.04,0.0,0.12,0.0,-,3,3,82.03%,2018-07-06,put
4,SBUX180706P00045000,2018-07-05 3:22PM EDT,45.0,0.04,0.0,0.01,0.03,+300.00%,6,91,48.44%,2018-07-06,put
5,SBUX180706P00045500,2018-07-03 9:49AM EDT,45.5,0.02,0.0,0.03,0.0,-,1,7,51.56%,2018-07-06,put
6,SBUX180706P00046000,2018-07-02 12:00PM EDT,46.0,0.02,0.0,0.02,0.0,-,31,304,41.41%,2018-07-06,put
7,SBUX180706P00046500,2018-07-03 11:04AM EDT,46.5,0.02,0.0,0.02,0.0,-,6,213,34.38%,2018-07-06,put
8,SBUX180706P00047000,2018-07-05 3:01PM EDT,47.0,0.01,0.01,0.02,-0.02,-66.67%,309,525,27.34%,2018-07-06,put
9,SBUX180706P00047500,2018-07-05 1:56PM EDT,47.5,0.02,0.02,0.03,-0.02,-50.00%,64,262,22.46%,2018-07-06,put
10,SBUX180706P00048000,2018-07-05 3:40PM EDT,48.0,0.05,0.03,0.06,-0.06,-54.55%,219,568,18.16%,2018-07-06,put
11,SBUX180706P00048500,2018-07-05 3:56PM EDT,48.5,0.17,0.15,0.19,-0.03,-15.00%,387,513,16.80%,2018-07-06,put
12,SBUX180706P00049000,2018-07-05 3:59PM EDT,49.0,0.46,0.45,0.52,0.02,+4.55%,154,640,19.73%,2018-07-06,put
13,SBUX180706P00049500,2018-07-05 3:01PM EDT,49.5,0.93,0.86,0.97,0.15,+19.23%,13,193,25.20%,2018-07-06,put
14,SBUX180706P00050000,2018-07-05 3:57PM EDT,50.0,1.38,1.35,1.46,0.2,+16.95%,131,512,32.42%,2018-07-06,put
15,SBUX180706P00050500,2018-07-05 11:28AM EDT,50.5,1.97,1.83,1.98,0.39,+24.68%,4,86,43.16%,2018-07-06,put
16,SBUX180706P00051000,2018-07-05 1:38PM EDT,51.0,2.32,2.28,2.5,0.16,+7.41%,43,71,53.91%,2018-07-06,put
17,SBUX180706P00051500,2018-07-05 2:54PM EDT,51.5,2.85,2.78,2.99,0.14,+5.17%,29,52,59.77%,2018-07-06,put
18,SBUX180706P00052000,2018-07-05 2:21PM EDT,52.0,3.4,3.3,3.5,0.2,+6.25%,53,179,68.75%,2018-07-06,put
19,SBUX180706P00052500,2018-06-29 3:14PM EDT,52.5,3.4,3.45,3.7,1.07,+45.92%,20,60,0.00%,2018-07-06,put
20,SBUX180706P00053000,2018-07-05 10:34AM EDT,53.0,4.53,4.25,4.55,0.23,+5.35%,1,127,53.13%,2018-07-06,put
21,SBUX180706P00053500,2018-07-05 10:25AM EDT,53.5,4.99,4.8,4.95,0.29,+6.17%,10,96,78.13%,2018-07-06,put
22,SBUX180706P00054000,2018-07-05 3:53PM EDT,54.0,5.36,5.3,5.5,0.26,+5.10%,14,114,62.50%,2018-07-06,put
23,SBUX180706P00055000,2018-07-05 9:58AM EDT,55.0,6.32,6.3,6.45,0.57,+9.91%,11,429,95.70%,2018-07-06,put
24,SBUX180706P00055500,2018-06-29 3:41PM EDT,55.5,6.4,6.3,6.85,-0.6,-8.57%,4,46,0.00%,2018-07-06,put
25,SBUX180706P00056000,2018-07-05 11:47AM EDT,56.0,7.4,7.3,7.45,0.4,+5.71%,1,565,106.64%,2018-07-06,put
26,SBUX180706P00056500,2018-06-27 1:05PM EDT,56.5,6.21,6.25,6.45,1.08,+21.05%,8,1,0.00%,2018-07-06,put
27,SBUX180706P00057000,2018-07-05 12:27PM EDT,57.0,8.22,7.7,8.75,0.16,+1.99%,10,168,175.00%,2018-07-06,put
28,SBUX180706P00057500,2018-06-22 11:58PM EDT,57.5,6.0,6.2,6.35,0.0,-,2,0,0.00%,2018-07-06,put
29,SBUX180706P00058000,2018-06-26 1:57PM EDT,58.0,7.63,7.75,7.95,0.0,-,2,2,0.00%,2018-07-06,put
30,SBUX180706P00059000,2018-06-20 9:44AM EDT,59.0,4.81,5.95,9.3,0.0,-,1,3,0.00%,2018-07-06,put
31,SBUX180706P00060000,2018-06-20 9:47AM EDT,60.0,5.9,6.95,10.3,0.0,-,1,3,0.00%,2018-07-06,put
0,SBUX180713P00037500,2018-06-29 11:48PM EDT,37.5,0.01,0.0,0.02,0.0,-,2,26,67.19%,2018-07-13,put
1,SBUX180713P00040000,2018-06-29 11:48PM EDT,40.0,0.03,0.01,0.12,0.0,-,1,1,68.36%,2018-07-13,put
2,SBUX180713P00042500,2018-06-29 11:48PM EDT,42.5,0.06,0.0,0.12,0.0,-,2,2,57.03%,2018-07-13,put
3,SBUX180713P00043000,2018-07-02 11:13AM EDT,43.0,0.01,0.0,0.05,0.0,-,5,39,44.34%,2018-07-13,put
4,SBUX180713P00044000,2018-07-02 11:16AM EDT,44.0,0.03,0.0,0.06,0.0,-,10,16,38.67%,2018-07-13,put
5,SBUX180713P00044500,2018-07-02 3:12PM EDT,44.5,0.04,0.0,0.04,0.0,-,1,11,32.42%,2018-07-13,put
6,SBUX180713P00045000,2018-07-05 3:24PM EDT,45.0,0.04,0.03,0.07,-0.03,-42.86%,81,122,32.81%,2018-07-13,put
7,SBUX180713P00045500,2018-07-05 6:35PM EDT,45.5,0.08,0.03,0.07,0.0,-,50,50,29.00%,2018-07-13,put
8,SBUX180713P00046000,2018-07-05 11:47AM EDT,46.0,0.07,0.04,0.11,-0.05,-41.67%,8,254,28.42%,2018-07-13,put
9,SBUX180713P00046500,2018-07-05 11:53AM EDT,46.5,0.09,0.07,0.13,-0.06,-40.00%,5,5,25.59%,2018-07-13,put
10,SBUX180713P00047000,2018-07-05 3:57PM EDT,47.0,0.13,0.13,0.15,-0.04,-23.53%,221,191,22.27%,2018-07-13,put
11,SBUX180713P00047500,2018-07-05 3:09PM EDT,47.5,0.2,0.19,0.21,-0.04,-16.67%,34,129,20.31%,2018-07-13,put
12,SBUX180713P00048000,2018-07-05 3:54PM EDT,48.0,0.34,0.29,0.36,-0.02,-5.56%,548,453,20.41%,2018-07-13,put
13,SBUX180713P00048500,2018-07-05 3:56PM EDT,48.5,0.5,0.49,0.52,0.0,-,191,118,18.85%,2018-07-13,put
14,SBUX180713P00049000,2018-07-05 1:37PM EDT,49.0,0.74,0.73,0.91,0.0,-,85,277,22.85%,2018-07-13,put
15,SBUX180713P00049500,2018-07-05 1:04PM EDT,49.5,0.96,1.05,1.17,0.15,+18.52%,11,30,20.41%,2018-07-13,put
16,SBUX180713P00050000,2018-07-05 12:46PM EDT,50.0,1.35,1.45,1.54,0.23,+20.54%,9,372,19.73%,2018-07-13,put
17,SBUX180713P00050500,2018-07-05 6:35PM EDT,50.5,1.94,1.83,2.06,0.0,-,1,1,25.00%,2018-07-13,put
18,SBUX180713P00051000,2018-07-05 12:46PM EDT,51.0,2.29,2.18,2.57,-0.13,-5.37%,10,355,29.49%,2018-07-13,put
19,SBUX180713P00051500,2018-07-05 2:21PM EDT,51.5,2.84,2.7,2.99,0.04,+1.43%,25,2,28.22%,2018-07-13,put
20,SBUX180713P00052000,2018-07-05 2:21PM EDT,52.0,3.35,3.35,3.45,0.44,+15.12%,30,109,27.93%,2018-07-13,put
21,SBUX180713P00053000,2018-07-05 10:08AM EDT,53.0,4.46,4.25,4.55,0.57,+14.65%,1,79,42.77%,2018-07-13,put
22,SBUX180713P00054000,2018-07-05 12:28PM EDT,54.0,5.25,5.25,5.55,0.24,+4.79%,1,70,49.41%,2018-07-13,put
23,SBUX180713P00055000,2018-07-05 11:50AM EDT,55.0,6.31,6.3,6.45,0.46,+7.86%,2,482,45.12%,2018-07-13,put
24,SBUX180713P00056000,2018-07-05 10:03AM EDT,56.0,7.37,7.3,7.5,0.39,+5.59%,3,505,56.64%,2018-07-13,put
25,SBUX180713P00057000,2018-07-02 3:40PM EDT,57.0,8.02,8.3,8.45,0.0,-,1,102,55.47%,2018-07-13,put
26,SBUX180713P00058000,2018-06-27 12:52PM EDT,58.0,7.7,7.8,7.95,2.5,+48.08%,1,67,0.00%,2018-07-13,put
27,SBUX180713P00059000,2018-06-15 3:31PM EDT,59.0,2.24,2.13,2.38,-0.57,-20.28%,4,1,0.00%,2018-07-13,put
28,SBUX180713P00060000,2018-06-25 10:51AM EDT,60.0,9.87,9.7,10.2,0.0,-,2,0,0.00%,2018-07-13,put
0,SBUX180720P00035000,2018-06-26 1:26PM EDT,35.0,0.01,0.0,0.01,0.0,-,21,118,57.81%,2018-07-20,put
1,SBUX180720P00040000,2018-07-03 11:06AM EDT,40.0,0.03,0.01,0.02,0.0,-,7,468,42.58%,2018-07-20,put
2,SBUX180720P00045000,2018-07-03 12:59PM EDT,45.0,0.14,0.07,0.09,0.02,+16.67%,160,1160,25.98%,2018-07-20,put
3,SBUX180720P00046000,2018-07-05 3:32PM EDT,46.0,0.15,0.12,0.17,0.0,-,220,1791,24.32%,2018-07-20,put
4,SBUX180720P00047000,2018-07-05 3:59PM EDT,47.0,0.29,0.27,0.3,0.03,+11.54%,166,2500,22.07%,2018-07-20,put
5,SBUX180720P00048000,2018-07-05 3:21PM EDT,48.0,0.51,0.51,0.52,0.01,+2.00%,950,2604,19.53%,2018-07-20,put
6,SBUX180720P00049000,2018-07-05 3:56PM EDT,49.0,0.96,0.94,0.98,0.09,+10.34%,409,1752,18.90%,2018-07-20,put
7,SBUX180720P00050000,2018-07-03 12:57PM EDT,50.0,1.52,1.48,1.55,0.14,+10.14%,399,5581,15.14%,2018-07-20,put
8,SBUX180720P00050500,2018-07-05 1:34PM EDT,50.5,2.0,1.98,2.19,0.15,+8.11%,42,2551,23.34%,2018-07-20,put
9,SBUX180720P00051000,2018-07-05 3:32PM EDT,51.0,2.41,2.36,2.71,0.1,+4.33%,68,3073,27.34%,2018-07-20,put
10,SBUX180720P00051500,2018-07-05 1:04PM EDT,51.5,2.7,2.84,3.1,-0.05,-1.82%,11,511,26.37%,2018-07-20,put
11,SBUX180720P00052000,2018-07-05 2:01PM EDT,52.0,3.3,3.3,3.5,0.08,+2.48%,74,2114,24.32%,2018-07-20,put
12,SBUX180720P00052500,2018-07-03 12:54PM EDT,52.5,3.77,3.65,3.9,0.27,+7.71%,56,3063,17.19%,2018-07-20,put
13,SBUX180720P00053000,2018-07-05 11:04AM EDT,53.0,4.54,4.3,4.55,0.59,+14.94%,13,541,32.13%,2018-07-20,put
14,SBUX180720P00053500,2018-07-05 12:09PM EDT,53.5,4.73,4.8,4.95,0.35,+7.99%,55,1183,27.74%,2018-07-20,put
15,SBUX180720P00054000,2018-07-05 3:41PM EDT,54.0,5.36,5.25,5.6,0.3,+5.93%,31,1212,39.75%,2018-07-20,put
16,SBUX180720P00054500,2018-07-02 2:29PM EDT,54.5,5.63,5.75,6.1,0.0,-,6,179,42.29%,2018-07-20,put
17,SBUX180720P00055000,2018-07-03 12:56PM EDT,55.0,6.2,6.1,6.3,0.2,+3.33%,19,4320,0.00%,2018-07-20,put
18,SBUX180720P00055500,2018-07-03 10:56AM EDT,55.5,6.4,6.7,7.15,0.0,-,5,441,49.71%,2018-07-20,put
19,SBUX180720P00056000,2018-07-02 1:38PM EDT,56.0,7.33,7.2,7.55,0.0,-,4,887,46.19%,2018-07-20,put
20,SBUX180720P00056500,2018-07-02 11:33AM EDT,56.5,7.5,7.75,8.0,0.0,-,4,246,44.53%,2018-07-20,put
21,SBUX180720P00057000,2018-07-05 10:40AM EDT,57.0,8.5,8.1,8.8,0.4,+4.94%,10,314,64.26%,2018-07-20,put
22,SBUX180720P00057500,2018-07-03 12:50PM EDT,57.5,8.65,8.6,10.1,0.04,+0.46%,22,7408,68.95%,2018-07-20,put
23,SBUX180720P00058000,2018-07-03 11:29AM EDT,58.0,8.74,9.1,9.45,0.0,-,1,52,45.12%,2018-07-20,put
24,SBUX180720P00058500,2018-06-27 12:46PM EDT,58.5,8.2,8.3,8.45,3.4,+70.83%,125,121,0.00%,2018-07-20,put
25,SBUX180720P00059000,2018-06-27 12:46PM EDT,59.0,8.7,8.75,9.0,6.5,+295.45%,110,108,0.00%,2018-07-20,put
26,SBUX180720P00059500,2018-06-22 11:58PM EDT,59.5,7.2,8.05,8.35,0.0,-,2,66,0.00%,2018-07-20,put
27,SBUX180720P00060000,2018-07-02 10:49AM EDT,60.0,11.35,11.1,12.55,0.0,-,18,7835,79.30%,2018-07-20,put
28,SBUX180720P00062500,2018-06-27 12:46PM EDT,62.5,12.2,12.05,12.35,2.55,+26.42%,465,465,0.00%,2018-07-20,put
29,SBUX180720P00065000,2018-06-27 12:46PM EDT,65.0,14.7,14.6,14.8,7.25,+97.32%,140,140,0.00%,2018-07-20,put
30,SBUX180720P00067500,2018-06-22 9:46AM EDT,67.5,16.16,14.45,17.85,6.8,+72.65%,10,10,0.00%,2018-07-20,put
31,SBUX180720P00070000,2018-05-25 10:49AM EDT,70.0,11.84,11.8,12.3,-0.88,-6.92%,10,10,0.00%,2018-07-20,put
0,SBUX180727P00040000,2018-07-05 12:32PM EDT,40.0,0.06,0.03,0.09,-0.06,-50.00%,1,58,45.51%,2018-07-27,put
1,SBUX180727P00042500,2018-07-02 9:51AM EDT,42.5,0.13,0.1,0.15,0.0,-,6,9,37.70%,2018-07-27,put
2,SBUX180727P00043000,2018-07-03 12:50PM EDT,43.0,0.13,0.11,0.18,0.0,-,6,10,36.72%,2018-07-27,put
3,SBUX180727P00044000,2018-06-29 11:48PM EDT,44.0,0.22,0.16,0.25,0.0,-,18,31,34.57%,2018-07-27,put
4,SBUX180727P00045000,2018-07-05 3:42PM EDT,45.0,0.31,0.26,0.49,0.01,+3.33%,4,218,36.87%,2018-07-27,put
