Date,ADM,BF.B,CAG,CHD,CL,CLX,COST,COTY,CPB,CVS,DPS,EL,GIS,HRL,HSY,K,KHC,KMB,KO,KR,MDLZ,MKC,MNST,MO,PEP,PG,PM,SJM,STZ,SYY,TAP,TSN,WBA,WMT
<<<<<<< HEAD
=======
2008-01-10,35.104687,,13.294651000000002,10.123223,27.790577000000003,46.024563,53.868080000000006,,25.827818,32.391998,,17.43582,19.715834,8.139391,29.174288,38.522163,,45.427326,20.862928,10.137694,16.679642,30.390659000000003,7.531667,14.265985,59.03949,52.91803,,34.691601,21.209473000000003,21.02195,40.622310999999996,12.887497999999999,28.185935999999998,37.71991
2008-01-11,34.364478999999996,,13.161254999999999,9.950457,27.278734000000004,45.080048,51.223255,,25.361912,31.651714000000002,,16.160027,19.306662,8.253571,28.820379,37.412075,,44.344769,20.293306,9.89454,16.28688,29.536039000000002,7.188333999999999,14.302185999999999,57.711342,51.2388,,33.922401,21.044531,20.502182,39.447617,12.558416000000001,27.516388,37.189964
2008-01-14,35.545681,,12.861129,9.955857,27.264996999999997,45.343655,49.896984,,25.309310999999997,31.272959000000004,,16.084982,19.44076,8.047641,28.751137,36.904819,,44.842884000000005,20.461969,9.670091000000001,16.220568,29.552025,7.225,14.242455999999999,57.07323100000001,51.319115000000004,,33.301392,20.860186,20.646559,38.749134000000005,12.478369,27.197956,37.151001
2008-01-15,35.435425,,12.622136,9.891067,27.014219,45.014168,49.334084000000004,,24.685593,31.006109000000002,,15.859838,18.962826,8.053756,27.927916999999997,36.485786,,44.630352,20.242392000000002,9.542898,15.843109,28.968962,7.051667,14.200826999999999,55.522488,50.888335999999995,,32.461617,20.326551000000002,20.090692999999998,38.804703,12.344957,26.952996999999996,36.621047999999995
2008-01-16,33.364407,,12.766643,10.011643,27.038269,45.731685999999996,49.426617,,24.65554,31.935768,,16.168367,18.766829,8.024053,28.5434,36.463726,,44.258434,19.936892,9.913247,15.904316,28.905071000000003,6.6666669999999995,14.101279000000002,54.565342,50.514099,,32.616875,20.831078,20.617685,40.368324,12.460583,27.140790999999997,37.010723
2008-01-17,32.411598,,12.69439,9.945057,26.550473999999998,45.248455,49.580826,,24.302345000000003,31.875428999999997,,15.98492,18.694623999999997,7.981032000000001,28.666503999999996,36.25053,,43.733757000000004,19.742777,9.580308,15.633981,28.593573,6.691667,13.900374,53.496871999999996,49.949081,,32.503983000000005,20.442982,20.069027,37.733191999999995,12.122607,27.222445,37.002922
2008-01-18,32.206856,,12.399817,9.858672,26.450859,44.479671,49.758179,,23.904078,31.832315,,16.164196,18.598345000000002,7.991277,28.266432000000002,35.699162,,43.209099,19.329079,9.498012,15.378935999999998,28.737343,6.828333,13.650604999999999,53.022015,49.274006,,31.784174,19.647379,20.184538,36.669605,11.84689,27.524557,37.080864
2008-01-22,31.647771999999996,,11.982969,9.631912,25.746637,43.66695,50.999626,,23.295391,32.142703999999995,,16.347647,18.175421,7.9113809999999996,27.597092,34.919899,,42.863747,18.708538,9.512972999999999,15.241217,27.643112,6.663333000000001,13.281376000000002,51.523216,47.791740000000004,,31.516005,19.870537,19.838022,35.717148,11.962517,27.818503999999997,38.343384
2008-01-23,32.167491999999996,,11.949625,9.466339999999999,26.145519,44.816471,52.904217,,23.671122,31.978889000000002,,17.131467999999998,18.261383,7.757743,27.997159999999997,35.1478,,42.797318,18.733995,9.965614,15.582968,27.882725,6.793334,13.185448999999998,52.309715000000004,48.606255,,32.186417,20.113098,20.350578,35.923522999999996,12.060349,28.945293,39.091541
2008-01-24,33.285686,,12.039342999999999,9.257578,25.82641,44.248981,51.778439,,23.723728,31.202897999999998,,16.293447,18.326717000000002,7.8786059999999996,27.450910999999998,35.12574,,42.79068,19.055405,9.703757000000001,15.302422,27.611168,7.015,13.554682999999999,51.738392,48.540226000000004,,32.108779999999996,20.161613,19.881334,35.034565,11.998091,28.569683,38.117371
