Date,AIV,AMT,ARE,AVB,BXP,CBRE,CCI,DLR,DRE,EQIX,EQR,ESS,EXR,FRT,GGP,HCP,HST,IRM,KIM,MAA,MAC,O,PLD,PSA,REG,SBAC,SLG,SPG,UDR,VNO,VTR,WELL,WY
2018-01-18,40.181540999999996,135.190002,124.45491000000001,166.25456200000002,120.377953,,105.11592900000001,105.937569,25.191793,434.895569,59.903675,222.814346,81.966225,121.00968200000001,22.99,22.951399,20.5,34.675182,16.469998999999998,91.540001,62.132675,52.296772,60.96469499999999,191.31178300000002,63.029346,161.649994,94.110001,162.20735200000001,35.880001,70.71775799999999,54.380001,0.145,34.977534999999996
2018-01-19,40.20134,137.619995,125.020706,167.156235,121.142853,,106.344315,106.274323,25.439842000000002,435.333008,59.923492,221.852051,82.897888,121.56491100000001,23.049999,23.039938,20.719998999999998,34.86182,16.41,92.519997,62.972301,52.683422,61.312042000000005,191.61866799999999,63.1581,165.78999299999998,93.910004,162.19747900000002,35.970001,71.163841,54.470001,0.145,35.472965
2018-01-22,40.983585,139.240005,126.3806,168.543442,122.652794,,107.285416,108.29481499999999,25.777189,433.50372300000004,60.627075,224.798447,84.39449300000001,123.30991399999999,23.17,23.266205,20.809998999999998,35.176159000000006,16.58,93.25,65.194855,53.397240000000004,62.63196899999999,191.836456,63.692913,167.649994,95.959999,164.034348,36.360001000000004,72.482239,54.490002000000004,0.145,35.651321
2018-01-23,41.924259,141.199997,126.728012,171.109726,123.32829299999999,,109.29639399999999,110.047905,25.995472,439.418976,61.231564,229.986862,85.950562,123.67675,23.6,23.885983,21.299999,35.706596000000005,16.6,95.0,68.019966,54.061478,64.477882,196.103226,63.970226000000004,168.25,97.150002,164.26148999999998,37.029999,72.849007,55.950001,0.145,36.275566
2018-01-24,41.676712,141.759995,125.685768,170.227875,122.42430900000001,,108.563324,109.79038200000001,25.816876999999998,438.72305300000005,60.884724,229.70907599999998,84.781029,122.16970800000001,23.65,23.817118,21.290001,35.136864,16.33,94.610001,66.488869,53.54594399999999,63.991595999999994,192.965027,63.683014,168.949997,96.980003,164.034348,36.82,72.105553,55.889998999999996,0.145,37.246615999999996
2018-01-25,41.854946000000005,142.96000700000002,126.03318,168.622696,121.86801899999999,,107.592506,110.34503899999999,25.806955,436.60553,60.656803000000004,229.421387,84.245819,122.110222,23.6,23.984358,21.17,35.185978000000006,16.190001000000002,94.5,64.256447,53.972252000000005,63.733562,190.638611,63.50474200000001,170.28999299999998,96.489998,162.157974,36.73,71.60000600000001,56.41,0.145,37.385334
2018-01-26,41.686611,145.130005,125.536873,168.533524,122.15610500000001,,109.59358200000001,110.582741,25.886332,439.011383,60.983821999999996,228.00276200000002,83.46283000000001,121.336868,23.85,23.836794,21.24,35.127041,15.99,94.510002,65.68875899999999,53.744228,63.902275,190.915802,62.553951,172.279999,97.91999799999999,161.674072,36.509997999999996,71.57,55.889998999999996,0.145,37.504238
2018-01-29,41.042995,144.330002,123.59133100000001,166.710358,120.53688799999999,,108.801079,106.343658,25.588673,432.6189269999999,60.656803000000004,225.92938199999998,82.055428,120.09751899999999,23.440001000000002,23.620363,20.950001,33.47678,15.93,93.25,65.214607,52.594196,62.909847,190.608887,61.969612,169.520004,98.470001,160.89389,36.049999,71.150002,55.529999,0.145,36.731365000000004
2018-01-30,40.547905,145.149994,124.82218200000001,165.34298700000002,118.629593,,108.99920700000001,105.541389,25.499376,436.993225,60.022587,224.947235,82.17437,118.49133300000001,23.110001,23.197342000000003,20.83,33.329433,15.6,92.959999,63.495838,52.009266,62.423561,191.658279,61.236713,169.71000700000002,98.190002,160.587753,35.889998999999996,70.199997,54.650002,0.145,36.453922
2018-01-31,41.429169,147.699997,128.743027,168.840683,122.891205,,111.713531,110.87986799999999,26.203833,452.53195199999993,61.053188,231.12770099999997,82.739311,119.77033999999999,23.030001000000002,23.689228,20.76,34.409962,15.91,95.370003,63.782299,52.954052000000004,64.616821,193.7966,62.306351,174.5,100.519997,161.338287,36.529999,71.68,55.970001,0.145,37.197071
2018-02-01,40.39938,147.059998,124.296089,162.608246,118.401123,,112.010727,106.947823,26.759459999999997,441.94415300000003,59.78476,225.36390699999998,81.331902,116.74633,22.84,23.187504,20.57,34.007217,15.36,91.75,61.96474499999999,51.361153,63.23735,189.06454499999998,60.107651000000004,174.729996,99.5,157.664551,35.310001,70.489998,54.400002,0.145,36.820541
