Identifier,Name,# (P),% Wgt (P),Mkt Val (P),Pos (P),Px Close (P),Crncy (P),# (B),% Wgt (B),% Wgt (D)
REGN,REGENERON PHARMACEUTICALS,,0.683565342,49001397.5576202,152282.29709,321.78,USD,,0.692907345,-0.009342002
RGNX,REGENXBIO INC,,0.020093394,1440395.468804,50718.15031,28.4,USD,,0.020455785,-0.000362391
RGLS,REGULUS THERAPEUTICS INC,,0.002719745,194965.0181352,180523.16494,1.08,USD,,0.002596421,0.000123324
RGEN,REPLIGEN CORP,,0.034390843,2465308.4193621,72787.37583,33.87,USD,,0.034124114,0.000266729
RMD,RESMED INC,,0.362724062,26001882.911016,276733.5346,93.96,USD,,0.362763731,-3.9668e-05
RTRX,RETROPHIN INC,,0.024676254,1768917.909067,71269.85935,24.82,USD,,0.025216131,-0.000539876
RVNC,REVANCE THERAPEUTICS INC,,0.023226843,1665016.804584,55779.45744,29.85,USD,,0.023242401,-1.5558e-05
RMTI,ROCKWELL MEDICAL INC,,0.00763232,547123.1059804,96155.20316,5.69,USD,,0.007612465,1.9855e-05
SAGE,SAGE THERAPEUTICS INC,,0.170452528,12218893.4794752,75761.98834,161.28,USD,,0.199693813,-0.029241284
SGMO,SANGAMO THERAPEUTICS INC,,0.053307525,3821351.241555,162610.69113,23.5,USD,,0.054040422,-0.000732896
SRPT,SAREPTA THERAPEUTICS INC,,0.103028677,7385613.1861614,118911.82074,62.11,USD,,0.103757436,-0.000728758
SGEN,SEATTLE GENETICS INC,,0.141820419,10166400.0943363,194497.80169,52.27,USD,,0.154765694,-0.012945275
SEM,SELECT MEDICAL HOLDINGS CORP,,0.051696547,3705868.2375645,207611.66597,17.85,USD,,0.051993676,-0.000297128
MCRB,SERES THERAPEUTICS INC,,0.005086384,364617.5987232,38219.87408,9.54,USD,,0.005259966,-0.000173581
SRNE,SORRENTO THERAPEUTICS INC,,0.013531122,969978.8015475,128474.01345,7.55,USD,,0.013849853,-0.00031873
ONCE,SPARK THERAPEUTICS INC,,0.049811106,3570710.3038322,59402.93302,60.11,USD,,0.051441993,-0.001630887
SPPI,SPECTRUM PHARMACEUTICALS INC,,0.04774116,3422326.176493,164061.65755,20.86,USD,,0.057130415,-0.009389255
STAA,STAAR SURGICAL CO,,0.011326647,811951.001455,55996.62079,14.5,USD,,0.011367698,-4.105e-05
STE,STERIS PLC,,0.207976726,14908816.4653836,165432.93903,90.12,USD,,0.208542254,-0.000565528
SYK,STRYKER CORP,,1.454947392,104297937.807276,654767.64271,159.29,USD,,1.45970459,-0.004757197
SUPN,SUPERNUS PHARMACEUTICALS INC,,0.053325195,3822617.88175,98648.2034,38.75,USD,,0.054044918,-0.000719723
SGRY,SURGERY PARTNERS INC,,0.008077451,579032.318163,38731.25874,14.95,USD,,0.007934766,0.000142684
SYNH,SYNEOS HEALTH INC,,0.06409749,4594830.09174,110986.2341,41.4,USD,,0.064642933,-0.000545442
SGYP,SYNERGY PHARMACEUTICALS INC,,0.011601963,831687.0343775,475249.73393,1.75,USD,,0.011744212,-0.000142249
SYRS,SYROS PHARMACEUTICALS INC,,0.003163624,226784.501615,21743.4805,10.43,USD,,0.005794618,-0.002630993
TRHC,TABULA RASA HEALTHCARE INC,,0.010678855,765514.0251513,24095.49969,31.77,USD,,0.010786875,-0.000108019
TCMD,TACTILE SYSTEMS TECHNOLOGY I,,0.011804581,846211.707372,27070.1122,31.26,USD,,0.012044327,-0.000239745
TDOC,TELADOC INC,,0.056472957,4048265.2704795,105013.36629,38.55,USD,,0.056739748,-0.000266791
TFX,TELEFLEX INC,,0.296655531,21265758.706191,87632.4173,242.67,USD,,0.297433797,-0.000778265
TLGT,TELIGENT INC,,0.003038516,217816.1368033,80374.95823,2.71,USD,,0.003149845,-0.000111329
THC,TENET HEALTHCARE CORP,,0.057747537,4139633.554379,196657.17598,21.05,USD,,0.057808064,-6.0526e-05
TSRO,TESARO INC,,0.057612714,4129968.751848,73960.75845,55.84,USD,,0.057834175,-0.000221461
TGTX,TG THERAPEUTICS INC,,0.02151237,1542114.782208,107091.30432,14.4,USD,,0.022144459,-0.000632088
TXMD,THERAPEUTICSMD INC,,0.023372701,1675472.65936,335766.064,4.99,USD,,0.023506813,-0.000134112
TBPH,THERAVANCE BIOPHARMA INC,,0.031149229,2232933.226974,84023.82792,26.575,USD,,0.031294941,-0.000145711
